Timestamp,Latitude,Longitude,Altitude
1732632250.2092724,42.33736,-71.08784,6.0
1732632251.1969764,42.33736,-71.08784,6.0
1732632252.1763668,42.33736,-71.08784,6.0
1732632253.2085757,42.33736,-71.08784,6.0
1732632254.1967387,42.33736,-71.08784,6.0
1732632255.176239,42.33736,-71.08784,6.0
1732632256.2088115,42.33736,-71.08784,6.0
1732632257.196251,42.33736,-71.08784,6.0
1732632258.1773973,42.33736,-71.08784533333333,6.0
1732632259.208528,42.33736,-71.08784533333333,6.0
1732632260.1968164,42.33736,-71.08784533333333,6.0
1732632261.1776564,42.33736,-71.08784533333333,6.0
1732632262.2091315,42.33736,-71.08784533333333,6.0
1732632263.1964543,42.33736,-71.08784533333333,6.0
1732632264.1772656,42.33736,-71.08784533333333,6.0
1732632265.2085493,42.33736,-71.08784533333333,6.0
1732632266.196459,42.33736,-71.08784533333333,6.0
1732632267.646741,42.33736,-71.08784533333333,6.0
1732632268.6569176,42.33736,-71.08784533333333,6.0
1732632270.176949,42.33736,-71.08784533333333,6.0
1732632271.2080288,42.33736,-71.08784533333333,6.0
1732632272.1967325,42.33736,-71.08784533333333,6.0
1732632273.1764784,42.33736,-71.08784533333333,6.0
1732632274.2085626,42.33736,-71.08784533333333,6.0
1732632275.1966927,42.33736,-71.08784533333333,6.0
1732632276.7368557,42.33736,-71.08784533333333,6.0
1732632277.7468443,42.33736,-71.08784533333333,6.0
1732632278.7663329,42.33736,-71.08784533333333,6.0
1732632279.7777512,42.33736,-71.08784533333333,6.0
1732632280.7879803,42.33736,-71.08784533333333,6.0
1732632281.7964325,42.33736,-71.08784533333333,6.0
1732632282.8088646,42.33736,-71.08784533333333,6.0
1732632283.816628,42.33736,-71.08784533333333,6.0
1732632284.832885,42.33736,-71.08784533333333,6.0
1732632285.8465455,42.33736,-71.08784533333333,6.0
1732632286.8467572,42.33736,-71.08784533333333,6.0
1732632287.867374,42.33736,-71.08784533333333,6.0
1732632288.8673255,42.33736,-71.08784533333333,6.0
1732632289.887107,42.33736,-71.08784533333333,6.0
1732632290.8868086,42.33736,-71.08784533333333,6.0
1732632291.916907,42.33736,-71.08784533333333,6.0
1732632292.927008,42.33736,-71.08784533333333,6.0
1732632293.9263523,42.33736,-71.08784533333333,6.0
1732632294.9372773,42.33736,-71.08784533333333,6.0
